Scientific_Name,Years_Missing,Last_Record_Year,Last_Record_Date,Last_Known_Latitude,Last_Known_Longitude,Last_Known_Reserve,First_Record_Year,First_Record_Date,First_Known_Latitude,First_Known_Longitude,First_Known_Reserve,Record_Span_Years,Total_Records,GPS_Locations,All_Reserves_Found,Geographic_Range_Lat,Geographic_Range_Lon,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
Tetratheca juncea,133,1892,1892-09-16,-33.916667,151.1,Not in a reserve,1889,1889-09-01,-33.924122,151.140362,Not in a reserve,3,3,3,Not in a reserve,0.013705,0.040362,-33.924122,-33.910417,151.1,151.140362
Gonocarpus longifolius,115,1910,1910-10-31,-33.965122,150.984469,East Hills Park,1910,1910-10-31,-33.965122,150.984469,East Hills Park,0,2,2,East Hills Park,0.0,0.0,-33.965122,-33.965122,150.984469,150.984469
Acacia bynoeana,112,1913,1913-04-01,-33.910117,151.108264,Not in a reserve,1913,1913-04-01,-33.910117,151.108264,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Lyperanthus suaveolens,103,1922,1922-09-13,-33.915297,151.134272,Not in a reserve,1922,1922-09-13,-33.915297,151.134272,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Deyeuxia appressa,95,1930,1930-11-09,-33.95862,151.036865,Not in a reserve,1930,1930-11-09,-33.95862,151.036865,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Litsea leefeana,84,1941,1941-01-30,-33.915297,151.05094,Not in a reserve,1941,1941-01-30,-33.915297,151.05094,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Polyosma rigidiuscula,84,1941,1941-01-31,-33.915297,151.05094,Not in a reserve,1941,1941-01-31,-33.915297,151.05094,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Pterostylis acuminata,70,1955,1955-05-16,-33.973631,151.000941,Not in a reserve,1955,1955-05-16,-33.973631,151.000941,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Centipeda minima,57,1968,1968-04-13,-33.908333,151.108333,Not in a reserve,1968,1968-04-13,-33.908333,151.108333,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Philotheca obovalis,56,1969,1969-11-20,-33.981964,151.009274,Not in a reserve,1969,1969-11-20,-33.981964,151.009274,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Austrostipa elegantissima,55,1970,1970-11-20,-33.915297,151.092606,Not in a reserve,1970,1970-11-20,-33.915297,151.092606,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Acacia burkittii,55,1970,1970-11-20,-33.915297,151.092606,Not in a reserve,1970,1970-11-20,-33.915297,151.092606,Not in a reserve,0,1,1,Not in a reserve,,,,,,
Ptilotus seminudus,45,1980,1980-09-10,-33.915297,151.134272,Not in a reserve,1980,1980-09-10,-33.915297,151.134272,Not in a reserve,0,1,1,Not in a reserve,,,,,,
